Primoz Roglic,Primo Roglic,Primo
Jon IZAGIRRE,Jon Izaguirre,Ion Izagirre,Ion Izaggire
John Darwin ATAPUMA,Jhon Darwin Atapuma, Darwin Atapuma
Egan Arley BERNAL GOMEZ,Egan Arley Bernal,Egan Bernal
Elie Gesbert,lie Gesbert
Daniel Felipe MARTINEZ POVEDA,Daniel Felipe Martinez,Daniel Martinez
Tsgabu Gebremaryam GRMAY,Tsgabu Grmay
Magnus Cort NIELSEN,Magnus Cort
Michael VALGREN ANDERSEN, Michael Valgren
Omar FRAILE MATARRANZ, Omar Fraile
Maximiliano Ariel RICHEZE, Maximiliano Richeze
Jay Robert THOMSON, Jay Thomson
Michal KWIATKOWSKI, Michał Kwiatkowski
Gorka IZAGIRRE, Gorka Izagirre Insausti
Sergio Luis HENAO MONTOYA, Sergio HENAO MONTOYA, Sergio Henao